year,incidenti,vittime_fatali,feriti_gravi,feriti_lievi
1948.0,1,2.0,0.0,0.0
1962.0,1,4.0,0.0,0.0
1974.0,1,3.0,0.0,0.0
1977.0,1,2.0,0.0,0.0
1979.0,2,1.0,2.0,1.0
1981.0,1,4.0,0.0,0.0
1982.0,3593,1585.0,727.0,998.0
1983.0,3556,1273.0,673.0,1048.0
1984.0,3457,1229.0,697.0,1047.0
1985.0,3096,1648.0,612.0,1108.0
1986.0,2880,1180.0,619.0,970.0
1987.0,2828,1237.0,554.0,936.0
1988.0,2730,1195.0,620.0,1117.0
1989.0,2544,1532.0,518.0,1029.0
1990.0,2518,999.0,589.0,908.0
1991.0,2462,1087.0,535.0,913.0
1992.0,2355,1273.0,609.0,775.0
1993.0,2313,865.0,505.0,910.0
1994.0,2257,1183.0,529.0,763.0
1995.0,2309,1236.0,480.0,731.0
1996.0,2187,2533.0,532.0,729.0
1997.0,2148,1296.0,497.0,1026.0
1998.0,2226,1325.0,388.0,807.0
1999.0,2209,1221.0,491.0,1206.0
2000.0,2220,1765.0,501.0,1256.0
2001.0,2063,1709.0,478.0,612.0
2002.0,2020,1386.0,432.0,706.0
2003.0,2085,1374.0,480.0,772.0
2004.0,1952,978.0,457.0,603.0
2005.0,2031,1689.0,426.0,620.0
2006.0,1851,1489.0,420.0,473.0
2007.0,2016,1335.0,402.0,543.0
2008.0,1873,1200.0,762.0,407.0
2009.0,1783,1184.0,597.0,371.0
2010.0,1779,1370.0,615.0,332.0
2011.0,1828,923.0,472.0,356.0
2012.0,1771,1015.0,438.0,320.0
2013.0,1457,774.0,654.0,335.0
2014.0,1391,1376.0,426.0,269.0
2015.0,1511,1087.0,440.0,326.0
2016.0,1583,817.0,460.0,286.0
2017.0,1511,639.0,375.0,256.0
2018.0,1478,1021.0,521.0,299.0
2019.0,1478,896.0,351.0,262.0
2020.0,1234,767.0,423.0,245.0
2021.0,1433,589.0,313.0,271.0
2022.0,1407,666.0,330.0,265.0
